ID,Pregunta,A,B,C,D,Respuesta,Tipo
91,¿Qué software es más utilizado en la animación 3D?,Blender,CorelDraw,Illustrator,After Effects,A,Múltiple
92,¿Qué se evalúa en los estudiantes en Diseño Gráfico?,Pruebas orales,Proyectos,Tareas,Exámenes teóricos,B,Múltiple
93,¿Qué es el trabajo de grado en el programa de Diseño Gráfico?,Proyecto práctico,Examen final,Tesis escrita,Presentación oral,A,Múltiple
94,¿Qué tipo de recurso no ofrece la biblioteca de Bellas Artes?,Libros físicos,Libros digitales,Revistas,Becas,D,Múltiple
95,¿Qué rol tiene el egresado de Diseño Gráfico?,Artista,Científico,Comunicador visual,Comunicador social,C,Múltiple
96,¿Qué área se trabaja más en el primer semestre del programa de Diseño Gráfico?,Fotografía,Tipografía,Expresión,Modelado 3D,C,Múltiple
97,¿Qué tipo de proyecto se espera en la asignatura de ilustración?,Video,Póster,Informe escrito,Investigación,B,Múltiple
98,¿Qué herramienta no es digital?,Adobe,Canva,Pintura manual,Figma,C,Múltiple
99,¿Qué servicio de bienestar NO está disponible en Bellas Artes?,Orientación vocacional,Apoyo psicológico,Tutorías académicas,Lavandería,D,Múltiple
100,¿Qué recurso digital es clave en la investigación académica en Diseño Gráfico?,Behance,YouTube,Instagram,Google Scholar,D,Múltiple
101,¿Cuántas áreas principales tiene el plan de estudios de Diseño Gráfico?,2,3,4,5,B,Múltiple
102,¿Cuál es una asignatura del primer semestre en el programa de Diseño Gráfico?,Ilustración,Fotografía,Fundamentos de la propiedad intelectual,Tipografía,C,Múltiple
103,¿Qué ciclo académico incluye la asignatura de Proyectos Interdisciplinarios?,Ciclo de creación,Ciclo básico,Ciclo de énfasis,Ciclo de producción,C,Múltiple
104,¿Qué software se enseña en la asignatura de Gráfica Digital II?,InDesign,Photoshop,AutoCAD,Sketch,B,Múltiple
105,¿Cuántos créditos tiene una asignatura Diseño II?,2,3,4,5,C,Múltiple
106,¿Qué asignatura está relacionada con la creación de imágenes en movimiento?,Narración audiovisual,Diseño Editorial,Tipografía,Expresión gráfica,A,Múltiple
107,¿En qué ciclo se imparte la asignatura de Historia del Diseño Gráfico?,Ciclo de fundamentación,Ciclo de énfasis,Ciclo de creación,Ciclo de producción,A,Múltiple
108,¿Qué competencia se desarrolla en la asignatura de Tipografía?,Manejo de color,Composición,Diagramación de textos,Creación de ilustraciones,C,Múltiple
109,¿Cuál es una función principal del Consejo Académico en Bellas Artes?,Supervisión financiera,Elaboración de exámenes,Planificación curricular,Organización de eventos,C,Múltiple
110,¿Qué aspecto evalúa el Comité de Aseguramiento de la Calidad?,Calidad docente,Redacción de ensayos,Asistencia a clases,Participación en eventos,A,Múltiple
111,¿Cuál es el objetivo del reglamento estudiantil en Bellas Artes?,Fomentar la disciplina,Regular la conducta,Guiar el proceso académico,Aplicar sanciones,C,Múltiple
112,¿Qué institución otorga el título de Diseñador Gráfico en Bellas Artes?,Universidad del Valle,Instituto Departamental de Bellas Artes,Universidad Nacional,Pontificia Bolivariana,B,Múltiple
113,¿Qué valor fundamental se destaca en el perfil del egresado?,Innovación,Pasividad,Aislamiento,Desinterés,A,Múltiple
114,¿Cuál de las siguientes es una asignatura obligatoria en el plan de estudios?,Publicidad,Fotografía I,Branding,Fotografía Digital,B,Múltiple
115,¿Qué característica se resalta en el perfil de egreso del estudiante de Diseño Gráfico?,Conservadurismo,Inclusividad,Desconexión,Individualismo,B,Múltiple
116,¿Qué estrategia pedagógica es más utilizada en el programa de Diseño Gráfico?,Gamificación,Aprendizaje basado en proyectos,Exámenes tradicionales,Clases magistrales,B,Múltiple
117,¿Cuál es una asignatura electiva del ciclo avanzado?,Talleres de énfasis,Tipografía Avanzada,Fotografía Digital,Arte Contemporáneo,A,Múltiple
118,¿Qué criterio se evalúa en los trabajos finales de la asignatura Proyectos Interdisciplinarios?,Creatividad,Asistencia,Puntualidad,Comunicación escrita,A,Múltiple
119,¿Cuál es el requisito para inscribirse en la asignatura de Diseño IV Editorial?,Haber cursado Historia del Diseño,Contar con un portafolio,Aprobar Diseño III,Tener créditos suficientes,C,Múltiple
120,¿Qué asignatura desarrolla competencias en el manejo del color?,Ilustración,Historia del Arte,Teoría del color y la forma,Diseño Editorial,C,Múltiple
121,¿Qué software no se utiliza comúnmente en las asignaturas de diseño gráfico?,CorelDraw,Microsoft Word,Adobe Photoshop,InDesign,B,Múltiple
122,¿Qué competencia se desarrolla en la asignatura de Gráfica Digital V?,Creación de interfaces,Motion graphícs y Edición de videos,Programación,Investigación visual,B,Múltiple
123,¿Qué ciclo incluye la pasantía?,Ciclo de creación-producción,Ciclo básico,Ciclo de énfasis,Ciclo introductorio,A,Múltiple
124,¿En qué asignatura se trabaja con software de modelado 3D?,Proyectos 3D,Electiva Gráfica Digital 3D,Ilustración,Diseño Editorial,B,Múltiple
125,¿Qué área fundamental abarca la asignatura de Teoría del Diseño I y II?,Humanidades,Proyectual,Expresión,Ciencias Exactas,A,Múltiple
126,¿Qué función tiene el Comité de Acreditación del programa de Diseño Gráfico?,Promover eventos,Evaluar la calidad,Coordinar pasantías,Gestionar recursos,B,Múltiple
127,¿Qué asignatura trabaja en conjunto con el área de Humanidades?,Expresión Básica,Ilustración,Ética y Ciudadanía,Tipografía,C,Múltiple
128,¿Qué metodología se utiliza en la asignatura de Fundamentaciones del diseño?,Exámenes orales,Lecturas, foros y debates,Pruebas escritas,Ensayos individuales,B,Múltiple
129,¿Cuál es el ciclo de escogencia en el programa de Diseño Gráfico?,Ciclo básico,Ciclo de creación,Ciclo de énfasis,Ciclo de producción,C,Múltiple
130,¿Qué valor se fomenta en el perfil de egreso?,Innovación,Competitividad,Desconexión,Individualismo,A,Múltiple
131,¿En qué ciclo se desarrolla la asignatura de Taller de Ilustración?,Ciclo de creación,Ciclo de producción,Ciclo de fundamentación,Ciclo de énfasis,D,Múltiple
132,¿Qué criterio es evaluado en los proyectos finales del programa de Diseño Gráfico?,Puntualidad,Creatividad,Disciplina,Asistencia,B,Múltiple
133,¿Qué software se usa en las asignaturas de Fotografía?,InDesign,Photoshop,Excel,Word,B,Múltiple
134,¿Qué asignatura se ofrece en el ciclo de énfasis?,Fotografía Digital,Historia del Diseño,Diseño VI de Identidad Visual,Proyectos Interdisciplinarios,C,Múltiple
135,¿Qué tipo de proyectos se desarrollan en la asignatura de Narración gráfica?,Proyectos comerciales,Proyectos gráficos,Proyectos Narrativos y visuales,Proyectos escritos,C,Múltiple
136,¿Cuál es un objetivo del reglamento estudiantil?,Promover castigos,Resaltar a los profesores,Establecer normas de conducta,Guiar el proceso académico,D,Múltiple
137,¿Qué asignatura enseña a presnetar los trabajos de diseño?,Proyectos 3D,Modelado Avanzado,Portafolio (Electiva),Tipografía,C,Múltiple
138,¿Qué software es comúnmente utilizado en la asignatura de Diseño Editorial?,Illustrator,Photoshop,InDesign,CorelDraw,C,Múltiple
139,¿Qué ciclo es obligatorio para todos los estudiantes del programa?,Ciclo de fundamentación,Ciclo de énfasis,Ciclo de Creación-producción,Todos,D,Múltiple
140,¿Qué criterio se evalúa en la asignatura de Fotografía Digital?,Iluminación,Composición,Edición,Todas las anteriores,D,Múltiple
141,¿Qué asignatura forma parte del área de Expresión?,Dibujo II,Historia del Diseño,Analisis de medios,Creación de personajes,A,Múltiple
142,¿Qué área no se incluye en el plan de estudios del programa?,Ciencias Exactas,Humanidades,Expresión,Proyectual,A,Múltiple
143,¿Cuántos niveles de inglés debes cursar en el programa de diseño gráfico?,8,4,6,Ninguno,C,Múltiple
144,¿Qué Evento no se realiza en Bellas Artes?,Entre-vistas,Festival de la imagen,Comitiva visual,Semana FAVA,B,Múltiple
145,¿Cuál es una asignatura del ciclo de Creación producción en Diseño Gráfico?,Ilustración II,Historia del Arte,Reflexión de diseño contemporáneo,Trabajo de grado I,D,Múltiple
146,¿Cuál es la facultad a la que se encuentra adscrito el programa de Diseño gráfico?,Facultad de Artes Escénicas,Facultad de Artes Visuales y aplicadas,Facultad de Artes Integradas,Conservatorio Antonio María Valencia,B,Múltiple
147,¿Cuál es el principal enfoque de la asignatura de Historia del Diseño Gráfico?,Tendencias actuales,Origen y evolución,Técnicas contemporáneas,Uso de software,B,Múltiple
148,¿Relaciona 3 espacios de Bellas Artes?,Plaza Jairo Varela, Cafetería y CC Centenario,Sala Ruquita Velasco, La ermita y el Cam,El cruce, la biblioteca, Taller de fotografía y video,Sala de prototipado LAT, Rectoría y Boulevar del Rio.,C,Múltiple
149,¿Asignatura que reflexiona sobre creación visual?,Pasantía,Diseño editorial,Estética moderna,Costos y presupuestos,C,Múltiple
150,¿Cuál es una asignatura que se ofrece como parte del área de Humanidades?,Comunicación Visual,Ilustración,Expresión gráfica,Animación,A,Múltiple
151,El Instituto Departamental de Bellas Artes tiene más de 80 años de historia en el campo de las artes visuales.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
152,El programa de Diseño Gráfico de Bellas Artes no está comprometido con la sostenibilidad ambiental.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
153,Los estudiantes de Diseño Gráfico de Bellas Artes pueden utilizar licencias de software de Adobe en los laboratorios.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
154,La autoevaluación es un proceso obligatorio para la renovación del registro calificado del programa.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
155,El currículo del programa de Diseño Gráfico incluye áreas de expresión, humanidades y proyectual.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
156,La flexibilidad curricular no es una característica del programa de Diseño Gráfico en Bellas Artes.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
157,Bellas Artes no fomenta el trabajo interdisciplinario en el programa de Diseño Gráfico.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
158,Los egresados del programa de Diseño Gráfico tienen oportunidades de inserción en el ámbito profesional.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
159,La misión del programa de Diseño Gráfico incluye la formación de profesionales con enfoque social y crítico.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
160,La acreditación de alta calidad requiere de la participación de docentes, estudiantes y egresados en el proceso.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
161,Los trabajos de grado no forman parte del proceso de evaluación en el programa de Diseño Gráfico.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
162,Bellas Artes promueve el uso de software libre como alternativa al software comercial en Diseño Gráfico.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
163,El perfil del egresado del programa de Diseño Gráfico se enfoca en la creación de proyectos sociales y transformadores.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
164,El Comité de Aseguramiento de la Calidad en Bellas Artes no revisa las encuestas de autoevaluación.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
165,La participación de los estudiantes es clave en el proceso de mejoramiento continuo del programa de Diseño Gráfico.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
166,Las competencias de los estudiantes de Diseño Gráfico no incluyen habilidades en herramientas digitales.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
167,La investigación es un componente fundamental en el desarrollo del programa de Diseño Gráfico.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
168,El plan de estudios de Diseño Gráfico en Bellas Artes no se actualiza periódicamente.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
169,La acreditación de alta calidad implica la mejora continua del plan de estudios del programa de Diseño Gráfico.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
170,El diseño gráfico como disciplina no está influenciado por las tecnologías emergentes, como la inteligencia artificial.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
171,Los docentes del programa de Diseño Gráfico deben tener una formación en investigación y creación artística.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
172,El programa de Diseño Gráfico tiene un enfoque únicamente práctico sin incluir teoría en el currículo.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
173,El Instituto Departamental de Bellas Artes promueve la participación de los egresados en su red de exalumnos.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
174,Las metodologías de enseñanza en el programa de Diseño Gráfico incluyen el aprendizaje basado en proyectos.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
175,El programa no cuenta con un sistema de evaluación de estudiantes.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
176,Los egresados del programa no tienen impacto en el medio social y académico de la región.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
177,La interdisciplinariedad es una característica fundamental del plan de estudios en Bellas Artes.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
178,El plan de estudios del programa no ofrece oportunidades de creación y producción.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
179,El programa de Diseño Gráfico fomenta el uso de diversas tecnologías en los proyectos de diseño.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
180,El comité de acreditación se reúne periódicamente para revisar el progreso del proceso de acreditación.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
181,El Instituto Departamental de Bellas Artes no realiza autoevaluaciones periódicas.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
182,El perfil de ingreso al programa de Diseño Gráfico incluye la creatividad y el pensamiento crítico.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
183,Los estudiantes de Diseño Gráfico no pueden participar en proyectos de extensión o proyección social.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
184,La formación integral es un objetivo del programa de Diseño Gráfico.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
185,Los profesores de Diseño Gráfico no tienen acceso a estímulos para la investigación y creación.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
186,El programa de Diseño Gráfico en Bellas Artes cuenta con recursos bibliográficos y tecnológicos adecuados.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
187,El bienestar universitario es una política fundamental en Bellas Artes.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
188,El programa de Diseño Gráfico no incluye competencias en el manejo de herramientas digitales avanzadas.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
189,El plan de estudios del programa de Diseño Gráfico es rígido y no permite la flexibilidad académica.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
190,La producción creativa es parte de los resultados esperados en el perfil de egreso del programa de Diseño Gráfico.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
191,Los estudiantes de Diseño Gráfico no participan en procesos de investigación durante su formación.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
192,Bellas Artes fomenta el uso de energías renovables y sostenibilidad en sus proyectos académicos.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
193,La evaluación del programa incluye el seguimiento al impacto de los egresados en el medio profesional.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
194,Los recursos informáticos disponibles no son suficientes para el aprendizaje de los estudiantes de Diseño Gráfico.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
195,El modelo pedagógico del programa de Diseño Gráfico está basado en el aprendizaje autónomo y colaborativo.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
196,El Instituto Departamental de Bellas Artes ofrece actividades extracurriculares que complementan la formación académica.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
197,El enfoque del programa de Diseño Gráfico no incluye la responsabilidad social.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
198,Los trabajos de grado en Diseño Gráfico pueden incluir proyectos con impacto social y comunitario.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
199,El comité de acreditación de Bellas Artes trabaja para mejorar la calidad educativa del programa de Diseño Gráfico.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
200,La innovación es un eje central en el desarrollo curricular del programa de Diseño Gráfico.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
201,La misión del Instituto Departamental de Bellas Artes incluye formar profesionales creativos y críticos.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
202,El perfil del egresado de Diseño Gráfico no contempla habilidades en comunicación visual.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
203,El Instituto Departamental de Bellas Artes promueve una educación orientada al compromiso social.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
204,El perfil del egresado de Diseño Gráfico incluye la capacidad de gestionar proyectos interdisciplinares.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
205,Los créditos académicos del programa de Diseño Gráfico están alineados con los estándares nacionales e internacionales.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
206,La biblioteca de Bellas Artes no dispone de recursos especializados en diseño gráfico.,N/A,N/A,N/A,N/A,FALSO,Verdadero/Falso
207,El programa de Diseño Gráfico tiene una duración de 160 créditos académicos.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
208,Los egresados de Diseño Gráfico pueden desempeñarse en áreas de creación artística y comunicación visual.,N/A,N/A,N/A,N/A,VERDADERO,Verdadero/Falso
